"methods","scen_name","scen","sample_size","base_infect_shape","base_infect_mode","base_infect_min","base_infect_max","vacc_season","vacc_mean_d","vacc_sd_d","control_start","control_end","risk_start","risk_end","scen_id","missing_estimate","convergence_issue","mean_n_event","est_V_hat","est_V_hat_low_CI","est_V_hat_up_CI","IRR_V_hat","IRR_V_hat_low_CI","IRR_V_hat_up_CI","VE_hat","VE_hat_low_CI","VE_hat_up_CI","bias_est_V","bias_est_V_MCSE","bias_est_V_low_CI","bias_est_V_up_CI","mod_se_est_V_hat","se_est_V_hat","se_est_V_hat_MCSE","se_est_V_hat_low_CI","se_est_V_hat_up_CI","relative_bias_est_V","relative_bias_est_V_MCSE","relative_bias_est_V_low_CI","relative_bias_est_V_up_CI","bias_IRR_V","bias_IRR_V_MCSE","bias_IRR_V_low_CI","bias_IRR_V_up_CI","relative_bias_IRR_V","relative_bias_IRR_V_MCSE","bias_VE","bias_VE_MCSE","bias_VE_low_CI","bias_VE_up_CI","coverage_irr_V","coverage_irr_V_MCSE","coverage_irr_V_low_CI","coverage_irr_V_up_CI"
"calendar_adjustment","S20_seasonality_size6000","seasonality",6000,10,300,2e-04,0.003,"beta",80,20,3,7,16,35,20,0,7,17.993,-0.63651149613486,-0.683355434223571,-0.58966755804615,0.706759725126732,0.664891639338299,0.748627810915165,0.293240274873268,0.251372189084835,0.335108360661701,0.279779235739295,0.0238999684126075,0.232935297650584,0.326623173828006,0.664153907331182,0.753133474686109,0.0169083456484341,0.719993117215178,0.78627383215704,-0.305338934474479,0.0260833898905899,-0.356462378660035,-0.254215490288923,0.306759725126732,0.0213612682594046,0.264891639338299,0.348627810915165,0.76689931281683,0.0534031706485115,-0.306759725126732,0.0213612682594046,-0.348627810915165,-0.264891639338299,0.916414904330312,0.00878285817003908,0.899200502317036,0.933629306343589
"calendar_adjustment","S21_seasonality_size6000","seasonality",6000,20,200,2e-04,0.003,"beta",80,20,3,7,16,35,21,0,2,23.439,-0.462411918196114,-0.507610725770417,-0.417213110621811,0.845218397755919,0.784587858253004,0.905848937258834,0.154781602244081,0.0941510627411657,0.215412141746996,0.453878813678041,0.023060616109338,0.408680006103739,0.499077621252344,0.594220502628018,0.728511105825831,0.0163144936717965,0.69653469822911,0.760487513422552,-0.495343669742998,0.0251673571576682,-0.544671689772027,-0.446015649713968,0.445218397755919,0.0309339487259772,0.384587858253004,0.505848937258834,1.1130459943898,0.077334871814943,-0.445218397755919,0.0309339487259772,-0.505848937258834,-0.384587858253004,0.830661322645291,0.0118720250869765,0.807392153474817,0.853930491815764
"calendar_adjustment","S22_seasonality_size10000","seasonality",10000,2.5,100,2e-04,0.002,"beta",180,60,3,7,16,35,22,0,0,139.896,-0.98306678593385,-0.998416862428446,-0.967716709439254,0.385947578053243,0.379813305395331,0.392081850711155,0.614052421946757,0.607918149288845,0.620186694604669,-0.066776054059695,0.00783167168091647,-0.0821261305542913,-0.0514259775650988,0.252000385532041,0.247659203983355,0.00554059914609713,0.236799629657005,0.258518778309705,0.0728764918565892,0.00854714711006384,0.0561240835208641,0.0896289001923144,-0.0140524219467571,0.00312973094791442,-0.0201866946046694,-0.00791814928884484,-0.0351310548668928,0.00782432736978605,0.0140524219467571,0.00312973094791442,0.00791814928884485,0.0201866946046694,0.952,0.00675988165576884,0.938750631954693,0.965249368045307
"calendar_adjustment","S23_seasonality_size10000","seasonality",10000,10,300,2e-04,0.003,"beta",180,60,3,7,16,35,23,0,0,169.618,-0.785441425822451,-0.800361837653514,-0.770521013991387,0.46929217638012,0.462193325925414,0.476391026834826,0.53070782361988,0.523608973165174,0.537806674074586,0.130849306051704,0.00761245501584882,0.115928894220641,0.145769717882768,0.233141215165343,0.240726964356555,0.00538551199270641,0.23017136085085,0.251282567862259,-0.142803262654495,0.00830790354091929,-0.159086753594697,-0.126519771714293,0.06929217638012,0.00362186247689065,0.0621933259254143,0.0763910268348257,0.1732304409503,0.00905465619222662,-0.06929217638012,0.00362186247689065,-0.0763910268348257,-0.0621933259254143,0.912,0.00895857131466843,0.89444120022325,0.92955879977675
"calendar_adjustment","S24_seasonality_size10000","seasonality",10000,20,200,2e-04,0.003,"beta",180,60,3,7,16,35,24,0,0,187.428,-0.913093269151851,-0.92679099838455,-0.899395539919151,0.411226956729798,0.405479945920862,0.416973967538735,0.588773043270202,0.583026032461265,0.594520054079138,0.00319746272230409,0.00698863736362217,-0.0105002665103954,0.0168951919550035,0.218712307962086,0.221000118100004,0.00494418558219441,0.211309514358903,0.230690721841105,-0.0034895722624675,0.00762709598658475,-0.0184386803961736,0.0114595358712386,0.0112269567297982,0.00293214837190628,0.00547994592086189,0.0169739675387345,0.0280673918244955,0.00733037092976571,-0.0112269567297982,0.00293214837190628,-0.0169739675387345,-0.00547994592086189,0.948,0.00702111102319284,0.934238622394542,0.961761377605458
"calendar_adjustment","S25_seasonality_size10000","seasonality",10000,2.5,100,2e-04,0.002,"beta",80,60,3,7,16,35,25,0,0,163.632,-0.72151510297636,-0.735046173622648,-0.707984032330073,0.497788449828059,0.490926283117389,0.50465061653873,0.502211550171941,0.49534938346127,0.509073716882611,0.194775628897795,0.00690360747259567,0.181244558251507,0.208306699544082,0.217384802334172,0.218311236851608,0.00488403028447399,0.208738537494039,0.227883936209177,-0.212569681349288,0.007534298048039,-0.227336905523444,-0.197802457175131,0.0977884498280591,0.00350110546462786,0.0909262831173885,0.10465061653873,0.244471124570148,0.00875276366156966,-0.0977884498280591,0.00350110546462786,-0.10465061653873,-0.0909262831173885,0.853,0.0111978122863352,0.831052287918783,0.874947712081217
"calendar_adjustment","S26_seasonality_size10000","seasonality",10000,10,300,2e-04,0.003,"beta",80,60,3,7,16,35,26,0,0,53.105,-0.721099356439003,-0.746498324641497,-0.69570038823651,0.527949236112205,0.514265928168694,0.541632544055717,0.472050763887795,0.458367455944283,0.485734071831306,0.195191375435152,0.0129586572461701,0.169792407232658,0.220590343637645,0.393433599254224,0.409788723153429,0.00916773943009491,0.391819953870443,0.427757492436415,-0.213023409105004,0.0141425169931217,-0.240742742411523,-0.185304075798486,0.127949236112205,0.00698127956301616,0.114265928168694,0.141632544055717,0.319873090280513,0.0174531989075404,-0.127949236112205,0.00698127956301616,-0.141632544055717,-0.114265928168694,0.906,0.00922843432007835,0.887912268732647,0.924087731267354
"calendar_adjustment","S27_seasonality_size10000","seasonality",10000,20,200,2e-04,0.003,"beta",80,60,3,7,16,35,27,0,0,76.466,-0.751864553740275,-0.774038254190477,-0.729690853290074,0.502631558581943,0.491127615177091,0.514135501986795,0.497368441418057,0.485864498013205,0.508872384822909,0.164426178133879,0.0113131124745927,0.142252477683678,0.186599878584081,0.338418255838163,0.357752028453767,0.00800358133872819,0.34206500902986,0.373439047877674,-0.179447605889854,0.0123466407342713,-0.203647021729026,-0.155248190050683,0.102631558581943,0.0058693588800265,0.0911276151770913,0.114135501986795,0.256578896454858,0.0146733972000662,-0.102631558581943,0.0058693588800265,-0.114135501986795,-0.0911276151770913,0.899,0.00952885092757778,0.880323452181948,0.917676547818053
"calendar_adjustment","S28_seasonality_size10000","seasonality",10000,2.5,100,2e-04,0.002,"beta",180,20,3,7,16,35,28,1,0,140.169169169169,-1.00636061226922,-1.02113765930804,-0.991583565230414,0.375888168833444,0.370390250297523,0.381386087369364,0.624111831166556,0.618613912630636,0.629609749702477,-0.0900698803950699,0.00753930971367907,-0.104846927433881,-0.0752928333562589,0.242950376303722,0.238294670036526,0.00533376724557496,0.227840486235199,0.248748853837853,0.0982983645494738,0.00822807592766804,0.0821713357312445,0.114425393367703,-0.0241118311665563,0.00280506047751032,-0.0296097497024765,-0.0186139126306361,-0.0602795779163907,0.0070126511937758,0.0241118311665563,0.00280506047751032,0.0186139126306361,0.0296097497024765,0.941941941941942,0.00739878787468595,0.927440317707557,0.956443566176326
"calendar_adjustment","S29_seasonality_size10000","seasonality",10000,10,300,2e-04,0.003,"beta",180,20,3,7,16,35,29,0,0,166.591,-0.691682670311412,-0.70573439014978,-0.677630950473044,0.513793166830756,0.506453592605387,0.521132741056125,0.486206833169244,0.478867258943875,0.493546407394613,0.224608061562743,0.00716924481549391,0.210556341724375,0.238659781401111,0.230579748095441,0.226711427203144,0.00507195823845344,0.216770389055775,0.236652465350512,-0.245127505658969,0.00782420313346414,-0.260462943800559,-0.229792067517379,0.113793166830756,0.00374468072722898,0.106453592605387,0.121132741056125,0.284482917076889,0.00936170181807245,-0.113793166830756,0.00374468072722898,-0.121132741056125,-0.106453592605387,0.85,0.0112915897906362,0.827868484010353,0.872131515989647
