"COVID-19_Season";"Week_ID";"Current_Season_Week_Ending_Label";"MMWR_Week_Order";"MMWR_Year";"MMWR_Week";"MMWR_Day";"Setting";"Doses";"Cumulative_Doses";"Location_and_Flu_Season_Order";"Current_Through";"Age_Group"
"2023-2024";"2023 Dec 02 12:00:00 AM";"2025 Nov 29 12:00:00 AM";"14";"2023";"48";"7";"Physician Medical Office";"141,610";"1,465,719";"38";"2026 Jan 17 12:00:00 AM";"18+"
"2023-2024";"2023 Dec 02 12:00:00 AM";"2025 Nov 29 12:00:00 AM";"14";"2023";"48";"7";"Physician Medical Office";"45,948";"439,664";"38";"2026 Jan 17 12:00:00 AM";"18-49"
"2023-2024";"2023 Dec 02 12:00:00 AM";"2025 Nov 29 12:00:00 AM";"14";"2023";"48";"7";"Physician Medical Office";"87,587";"844,924";"38";"2026 Jan 17 12:00:00 AM";"18-64"
"2023-2024";"2023 Dec 02 12:00:00 AM";"2025 Nov 29 12:00:00 AM";"14";"2023";"48";"7";"Physician Medical Office";"41,639";"405,261";"38";"2026 Jan 17 12:00:00 AM";"50-64"
"2023-2024";"2023 Dec 02 12:00:00 AM";"2025 Nov 29 12:00:00 AM";"14";"2023";"48";"7";"Physician Medical Office";"47,113";"482,691";"38";"2026 Jan 17 12:00:00 AM";"60-74"
"2023-2024";"2023 Dec 02 12:00:00 AM";"2025 Nov 29 12:00:00 AM";"14";"2023";"48";"7";"Physician Medical Office";"54,023";"620,792";"38";"2026 Jan 17 12:00:00 AM";"65+"
"2023-2024";"2023 Dec 02 12:00:00 AM";"2025 Nov 29 12:00:00 AM";"14";"2023";"48";"7";"Physician Medical Office";"24,739";"313,095";"38";"2026 Jan 17 12:00:00 AM";"75+"
"2023-2024";"2023 Dec 09 12:00:00 AM";"2025 Dec 06 12:00:00 AM";"15";"2023";"49";"7";"Physician Medical Office";"122,485";"1,588,204";"38";"2026 Jan 17 12:00:00 AM";"18+"
"2023-2024";"2023 Dec 09 12:00:00 AM";"2025 Dec 06 12:00:00 AM";"15";"2023";"49";"7";"Physician Medical Office";"40,268";"479,932";"38";"2026 Jan 17 12:00:00 AM";"18-49"
"2023-2024";"2023 Dec 09 12:00:00 AM";"2025 Dec 06 12:00:00 AM";"15";"2023";"49";"7";"Physician Medical Office";"76,182";"921,106";"38";"2026 Jan 17 12:00:00 AM";"18-64"
"2023-2024";"2023 Dec 09 12:00:00 AM";"2025 Dec 06 12:00:00 AM";"15";"2023";"49";"7";"Physician Medical Office";"35,913";"441,174";"38";"2026 Jan 17 12:00:00 AM";"50-64"
"2023-2024";"2023 Dec 09 12:00:00 AM";"2025 Dec 06 12:00:00 AM";"15";"2023";"49";"7";"Physician Medical Office";"40,368";"523,059";"38";"2026 Jan 17 12:00:00 AM";"60-74"
"2023-2024";"2023 Dec 09 12:00:00 AM";"2025 Dec 06 12:00:00 AM";"15";"2023";"49";"7";"Physician Medical Office";"46,303";"667,095";"38";"2026 Jan 17 12:00:00 AM";"65+"
"2023-2024";"2023 Dec 09 12:00:00 AM";"2025 Dec 06 12:00:00 AM";"15";"2023";"49";"7";"Physician Medical Office";"20,869";"333,964";"38";"2026 Jan 17 12:00:00 AM";"75+"
"2023-2024";"2023 Dec 16 12:00:00 AM";"2025 Dec 13 12:00:00 AM";"16";"2023";"50";"7";"Physician Medical Office";"112,670";"1,700,874";"38";"2026 Jan 17 12:00:00 AM";"18+"
"2023-2024";"2023 Dec 16 12:00:00 AM";"2025 Dec 13 12:00:00 AM";"16";"2023";"50";"7";"Physician Medical Office";"37,731";"517,663";"38";"2026 Jan 17 12:00:00 AM";"18-49"
"2023-2024";"2023 Dec 16 12:00:00 AM";"2025 Dec 13 12:00:00 AM";"16";"2023";"50";"7";"Physician Medical Office";"71,964";"993,070";"38";"2026 Jan 17 12:00:00 AM";"18-64"
"2023-2024";"2023 Dec 16 12:00:00 AM";"2025 Dec 13 12:00:00 AM";"16";"2023";"50";"7";"Physician Medical Office";"34,233";"475,407";"38";"2026 Jan 17 12:00:00 AM";"50-64"
"2023-2024";"2023 Dec 16 12:00:00 AM";"2025 Dec 13 12:00:00 AM";"16";"2023";"50";"7";"Physician Medical Office";"37,123";"560,182";"38";"2026 Jan 17 12:00:00 AM";"60-74"
"2023-2024";"2023 Dec 16 12:00:00 AM";"2025 Dec 13 12:00:00 AM";"16";"2023";"50";"7";"Physician Medical Office";"40,705";"707,800";"38";"2026 Jan 17 12:00:00 AM";"65+"
"2023-2024";"2023 Dec 16 12:00:00 AM";"2025 Dec 13 12:00:00 AM";"16";"2023";"50";"7";"Physician Medical Office";"17,865";"351,829";"38";"2026 Jan 17 12:00:00 AM";"75+"
"2023-2024";"2023 Dec 23 12:00:00 AM";"2025 Dec 20 12:00:00 AM";"17";"2023";"51";"7";"Physician Medical Office";"100,656";"1,801,530";"38";"2026 Jan 17 12:00:00 AM";"18+"
"2023-2024";"2023 Dec 23 12:00:00 AM";"2025 Dec 20 12:00:00 AM";"17";"2023";"51";"7";"Physician Medical Office";"38,624";"556,287";"38";"2026 Jan 17 12:00:00 AM";"18-49"
"2023-2024";"2023 Dec 23 12:00:00 AM";"2025 Dec 20 12:00:00 AM";"17";"2023";"51";"7";"Physician Medical Office";"67,844";"1,060,914";"38";"2026 Jan 17 12:00:00 AM";"18-64"
"2023-2024";"2023 Dec 23 12:00:00 AM";"2025 Dec 20 12:00:00 AM";"17";"2023";"51";"7";"Physician Medical Office";"29,219";"504,626";"38";"2026 Jan 17 12:00:00 AM";"50-64"
"2023-2024";"2023 Dec 23 12:00:00 AM";"2025 Dec 20 12:00:00 AM";"17";"2023";"51";"7";"Physician Medical Office";"30,891";"591,073";"38";"2026 Jan 17 12:00:00 AM";"60-74"
"2023-2024";"2023 Dec 23 12:00:00 AM";"2025 Dec 20 12:00:00 AM";"17";"2023";"51";"7";"Physician Medical Office";"32,812";"740,612";"38";"2026 Jan 17 12:00:00 AM";"65+"
"2023-2024";"2023 Dec 23 12:00:00 AM";"2025 Dec 20 12:00:00 AM";"17";"2023";"51";"7";"Physician Medical Office";"13,921";"365,750";"38";"2026 Jan 17 12:00:00 AM";"75+"
"2023-2024";"2023 Dec 30 12:00:00 AM";"2025 Dec 27 12:00:00 AM";"18";"2023";"52";"7";"Physician Medical Office";"52,975";"1,854,505";"38";"2026 Jan 17 12:00:00 AM";"18+"
"2023-2024";"2023 Dec 30 12:00:00 AM";"2025 Dec 27 12:00:00 AM";"18";"2023";"52";"7";"Physician Medical Office";"20,708";"576,995";"38";"2026 Jan 17 12:00:00 AM";"18-49"
"2023-2024";"2023 Dec 30 12:00:00 AM";"2025 Dec 27 12:00:00 AM";"18";"2023";"52";"7";"Physician Medical Office";"36,695";"1,097,609";"38";"2026 Jan 17 12:00:00 AM";"18-64"
"2023-2024";"2023 Dec 30 12:00:00 AM";"2025 Dec 27 12:00:00 AM";"18";"2023";"52";"7";"Physician Medical Office";"15,987";"520,613";"38";"2026 Jan 17 12:00:00 AM";"50-64"
