day,ve
249,0.293510204081633
250,0.292668367346939
251,0.291826530612245
252,0.290984693877551
253,0.290142857142857
254,0.289301020408163
255,0.288459183673469
256,0.287617346938776
257,0.286775510204082
258,0.285933673469388
259,0.285091836734694
260,0.28425
261,0.283408163265306
262,0.282566326530612
263,0.281724489795918
264,0.280882653061225
265,0.280040816326531
266,0.279198979591837
267,0.278357142857143
268,0.277515306122449
269,0.276673469387755
270,0.275831632653061
271,0.274989795918367
272,0.274147959183674
273,0.27330612244898
274,0.272464285714286
275,0.271622448979592
276,0.270780612244898
277,0.269938775510204
278,0.26909693877551
279,0.268255102040816
280,0.267413265306123
281,0.266571428571429
282,0.265729591836735
283,0.264887755102041
284,0.264045918367347
285,0.263204081632653
286,0.262362244897959
287,0.261520408163265
288,0.260678571428572
289,0.259836734693878
290,0.258994897959184
291,0.25815306122449
292,0.257311224489796
293,0.256469387755102
294,0.255627551020408
295,0.254785714285714
296,0.253943877551021
297,0.253102040816327
298,0.252260204081633
299,0.251418367346939
300,0.250576530612245
301,0.249734693877551
302,0.248892857142857
303,0.248051020408163
304,0.24720918367347
305,0.246367346938776
306,0.245525510204082
307,0.244683673469388
308,0.243841836734694
309,0.243
310,0.242158163265306
311,0.241316326530612
312,0.240474489795918
313,0.239632653061225
314,0.238790816326531
315,0.237948979591837
316,0.237107142857143
317,0.236265306122449
318,0.235423469387755
319,0.234581632653061
320,0.233739795918368
321,0.232897959183674
322,0.23205612244898
323,0.231214285714286
324,0.230372448979592
325,0.229530612244898
326,0.228688775510204
327,0.22784693877551
328,0.227005102040816
329,0.226163265306123
330,0.225321428571429
331,0.224479591836735
332,0.223637755102041
333,0.222795918367347
334,0.221954081632653
335,0.221112244897959
336,0.220270408163265
337,0.219428571428572
338,0.218586734693878
339,0.217744897959184
340,0.21690306122449
341,0.216061224489796
342,0.215219387755102
343,0.214377551020408
344,0.213535714285714
345,0.212693877551021
346,0.211852040816327
347,0.211010204081633
348,0.210168367346939
349,0.209326530612245
350,0.208484693877551
351,0.207642857142857
352,0.206801020408163
353,0.20595918367347
354,0.205117346938776
355,0.204275510204082
356,0.203433673469388
357,0.202591836734694
358,0.20175
359,0.200908163265306
360,0.200066326530612
361,0.199224489795919
362,0.198382653061225
363,0.197540816326531
364,0.196698979591837
365,0.195857142857143
366,0.195015306122449
367,0.194173469387755
368,0.193331632653061
369,0.192489795918368
370,0.191647959183674
371,0.19080612244898
372,0.189964285714286
373,0.189122448979592
374,0.188280612244898
375,0.187438775510204
376,0.18659693877551
377,0.185755102040816
378,0.184913265306123
379,0.184071428571429
380,0.183229591836735
381,0.182387755102041
382,0.181545918367347
383,0.180704081632653
384,0.179862244897959
385,0.179020408163265
386,0.178178571428572
387,0.177336734693878
388,0.176494897959184
389,0.17565306122449
390,0.174811224489796
391,0.173969387755102
392,0.173127551020408
393,0.172285714285714
394,0.171443877551021
395,0.170602040816327
396,0.169760204081633
397,0.168918367346939
398,0.168076530612245
399,0.167234693877551
400,0.166392857142857
401,0.165551020408163
402,0.16470918367347
403,0.163867346938776
404,0.163025510204082
405,0.162183673469388
406,0.161341836734694
407,0.1605
408,0.159658163265306
409,0.158816326530612
410,0.157974489795919
411,0.157132653061225
412,0.156290816326531
413,0.155448979591837
414,0.154607142857143
415,0.153765306122449
416,0.152923469387755
417,0.152081632653061
418,0.151239795918368
419,0.150397959183674
420,0.14955612244898
421,0.148714285714286
422,0.147872448979592
423,0.147030612244898
424,0.146188775510204
425,0.14534693877551
426,0.144505102040817
427,0.143663265306123
428,0.142821428571429
429,0.141979591836735
430,0.141137755102041
431,0.140295918367347
432,0.139454081632653
433,0.138612244897959
434,0.137770408163266
435,0.136928571428572
436,0.136086734693878
437,0.135244897959184
438,0.13440306122449
439,0.133561224489796
440,0.132719387755102
441,0.131877551020408
442,0.131035714285715
443,0.130193877551021
444,0.129352040816327
445,0.128510204081633
446,0.127668367346939
447,0.126826530612245
448,0.125984693877551
449,0.125142857142857
450,0.124301020408163
451,0.12345918367347
452,0.122617346938776
453,0.121775510204082
454,0.120933673469388
455,0.120091836734694
456,0.11925
457,0.118408163265306
458,0.117566326530613
459,0.116724489795919
460,0.115882653061225
461,0.115040816326531
462,0.114198979591837
463,0.113357142857143
464,0.112515306122449
465,0.111673469387755
466,0.110831632653061
467,0.109989795918368
468,0.109147959183674
469,0.10830612244898
470,0.107464285714286
471,0.106622448979592
472,0.105780612244898
473,0.104938775510204
474,0.10409693877551
475,0.103255102040817
476,0.102413265306123
477,0.101571428571429
478,0.100729591836735
479,0.0998877551020411
480,0.0990459183673472
481,0.0982040816326533
482,0.0973622448979595
483,0.0965204081632656
484,0.0956785714285717
485,0.0948367346938778
486,0.0939948979591839
487,0.0931530612244901
488,0.0923112244897962
489,0.0914693877551023
490,0.0906275510204084
491,0.0897857142857146
492,0.0889438775510207
493,0.0881020408163268
494,0.0872602040816329
495,0.086418367346939
496,0.0855765306122452
497,0.0847346938775513
498,0.0838928571428574
499,0.0830510204081635
500,0.0822091836734697
501,0.0813673469387758
502,0.0805255102040819
503,0.079683673469388
504,0.0788418367346941
505,0.0780000000000003
506,0.0771581632653064
507,0.0763163265306126
508,0.0754744897959187
509,0.0746326530612248
510,0.0737908163265309
511,0.0729489795918371
512,0.0721071428571432
513,0.0712653061224493
514,0.0704234693877554
515,0.0695816326530615
516,0.0687397959183677
517,0.0678979591836738
518,0.0670561224489799
519,0.066214285714286
520,0.0653724489795922
521,0.0645306122448983
522,0.0636887755102044
523,0.0628469387755105
524,0.0620051020408166
525,0.0611632653061228
526,0.0603214285714289
527,0.059479591836735
528,0.0586377551020411
529,0.0577959183673473
530,0.0569540816326534
531,0.0561122448979595
532,0.0552704081632656
533,0.0544285714285717
534,0.0535867346938779
535,0.052744897959184
536,0.0519030612244901
537,0.0510612244897962
538,0.0502193877551024
539,0.0493775510204085
540,0.0485357142857146
541,0.0476938775510207
542,0.0468520408163268
543,0.046010204081633
544,0.0451683673469391
545,0.0443265306122452
546,0.0434846938775513
547,0.0426428571428575
548,0.0418010204081636
549,0.0409591836734697
550,0.0401173469387758
551,0.039275510204082
552,0.0384336734693881
553,0.0375918367346942
554,0.0367500000000003
555,0.0359081632653064
556,0.0350663265306126
557,0.0342244897959187
558,0.0333826530612248
559,0.0325408163265309
560,0.0316989795918371
561,0.0308571428571432
562,0.0300153061224493
563,0.0291734693877554
564,0.0283316326530615
565,0.0274897959183677
566,0.0266479591836738
567,0.02580612244898
568,0.024964285714286
569,0.0241224489795922
570,0.0232806122448983
571,0.0224387755102045
572,0.0215969387755106
573,0.0207551020408167
574,0.0199132653061228
575,0.0190714285714289
576,0.0182295918367351
577,0.0173877551020412
578,0.0165459183673473
579,0.0157040816326534
580,0.0148622448979596
581,0.0140204081632657
582,0.0131785714285718
583,0.0123367346938779
584,0.011494897959184
585,0.0106530612244902
586,0.00981122448979627
587,0.00896938775510242
588,0.00812755102040852
589,0.00728571428571467
590,0.00644387755102077
591,0.00560204081632687
592,0.00476020408163302
593,0.00391836734693912
594,0.00307653061224522
595,0.00223469387755137
596,0.00139285714285753
597,0.000551020408163683
598,0
